,Country,Mortality_rate,Cases_per_ML,Deaths_per_ML,Recovered_per_ML,Active_per_ML,Critical_per_ML,Tests_per_ML,Clust_mem
67,S. Korea,0.02146235,268.0829247,5.753689544,244.8926302,17.43660492,0.292560485,28579.2391,0
68,Kenya,0.017524152,248.1069558,4.347863975,95.16991146,148.5891804,0.817547072,4531.570519,0
69,Denmark,0.046382753,2273.863789,105.4680616,2107.462461,60.93326634,0.863077427,225564.0772,0
70,Venezuela,0.009418888,418.2308851,3.939269963,139.7033955,274.5882197,0.597924905,50190.13309,0
71,El Salvador,0.028279588,1825.883525,51.63523391,1033.475353,740.7729378,63.81190101,32282.96478,0
72,Australia,0.010337231,462.5784535,4.78178032,324.2595786,133.5370947,1.136652699,136141.8715,0
73,Costa Rica,0.00557855,2180.790131,12.16564586,581.9888005,1586.635685,8.633684162,12915.01041,0
74,Sudan,0.063045852,250.4428888,15.78938519,130.0288907,104.6246129,0,9.136426349,0
75,Ethiopia,0.017573398,82.58059538,1.451221659,21.11657863,60.01279508,0.304148252,2177.736244,0
76,North Macedonia,0.046105102,4393.362677,202.556435,2308.759366,1882.046876,26.39953537,41192.87501,0
77,Norway,0.028245459,1664.677401,47.01957655,1500.569859,117.0879651,0.184390496,73222.57242,0
78,Senegal,0.018955732,525.6283496,9.963670191,354.8737144,160.7909651,2.088194351,5766.638196,0
79,Malaysia,0.014010707,271.0835886,3.798072833,264.1050158,3.180500015,0.061757282,27474.08549,0
80,Bulgaria,0.034352456,1257.351105,43.19309878,591.1695453,622.9884614,4.895217862,29734.27318,0
81,Palestine,0.00725231,1674.249653,12.14217785,376.2116718,1285.895803,0,30424.96839,0
83,Bosnia and Herzegovina,0.029856115,2542.913185,75.92150875,1118.698858,1348.292818,0,36706.98231,0
84,Finland,0.04471711,1323.730288,59.19339257,1241.617503,22.91939286,0.18046766,55257.75384,0
85,Haiti,0.020700411,618.2021755,12.79703922,339.822747,265.5823893,0,1371.299169,0
86,Madagascar,0.008369982,254.3054794,2.128532173,126.1967041,125.9802432,3.499451199,1185.159498,0
89,Guinea,0.005959658,497.7809422,2.966604026,419.2039689,75.61036927,1.825602477,1095.893954,0
90,Gabon,0.007284244,2834.596895,20.64789504,1734.87205,1079.076949,4.937540118,25628.07755,0
91,Mauritania,0.026391963,1261.827349,33.30210098,738.2323803,490.2928673,1.718818115,2973.985043,0
